student_id,student_name,grade,school_name,reading_score,math_score,school_type,school_budget
34289525,Daniel White,10th,Campbell High School,72.4,77.5,Charter,960726
13251477,Daniel Jackson,11th,Montgomery High School,78.1,67.2,Charter,893368
53816623,Susan Kennedy,9th,Campos High School,58.9,77.9,Public,957299
94849471,Sarah Washington,9th,Wagner High School,81.5,69.4,Public,846745
15540720,Stephanie Miller,10th,Fisher High School,87.9,59.1,Public,817615
47352216,Elizabeth Espinoza,12th,Montgomery High School,69.2,81.3,Charter,893368
69847848,Bradley Sharp,12th,Fisher High School,52.2,75.3,Public,817615
26907417,Catherine Bishop,11th,Green High School,88.6,78.4,Charter,832670
43925294,James Michael,9th,Silva High School,46.3,53.7,Public,991918
110791791,Angela Bennett,10th,Richard High School,46.9,77.6,Charter,889699
77879015,John Mckay,9th,Sullivan High School,,59.4,Public,961125
101195704,Allen Lester,11th,Montgomery High School,79.1,61.4,Charter,893368
128444438,Stephen Smith,9th,Green High School,66.7,69.5,Charter,832670
118001988,Brian Holmes,11th,Montgomery High School,91.6,85.5,Charter,893368
12838516,Erin Robinson,12th,Bowers High School,,40.1,Public,848324
58491409,Randy Cervantes,9th,Dixon High School,,77.3,Charter,870334
115754186,Kevin Singh,11th,Montgomery High School,79.5,63.3,Charter,893368
51346975,Brian Barnes,9th,Sullivan High School,84.7,73.4,Public,961125
33157742,Matthew Gonzalez,12th,Woods High School,,86.6,Public,912243
121096553,Brenda Smith,10th,Dixon High School,56.8,56,Charter,870334
113840830,Amanda Landry,10th,Montgomery High School,99.1,75.7,Charter,893368
25026797,David Rojas,10th,Campos High School,78.3,41.7,Public,957299
98446812,Rebekah Castillo,10th,Silva High School,92,22.3,Public,991918
83995433,Joseph Knight,9th,Turner High School,94.4,58.2,Public,956438
46074883,Kevin Brown,9th,Silva High School,80.3,72.4,Public,991918
46568991,John Carey,10th,Woods High School,35.7,69.9,Public,912243
47520271,Michelle Diaz,9th,Sullivan High School,56.5,88.3,Public,961125
108230905,David Fowler,11th,Campbell High School,77.8,55.9,Charter,960726
97703187,Dawn Ramos,9th,Sullivan High School,,66,Public,961125
116795335,Danny Sampson,9th,Montgomery High School,69.4,48.3,Charter,893368
77945004,Julia Jones,11th,Sullivan High School,92.4,91.5,Public,961125
95665832,Amanda Lambert,10th,Odonnell High School,77.5,40.9,Public,959474
124290217,James Taylor,9th,Sullivan High School,71.3,69.4,Public,961125
79124179,Timothy Rodriguez,9th,Wagner High School,78.1,62.1,Public,846745
76252329,Erin Ortiz,9th,Campbell High School,57.1,55.5,Charter,960726
63872628,Janet Kaufman,9th,Campos High School,73,59,Public,957299
97227391,Sara Meyer,10th,Woods High School,61.1,76.3,Public,912243
12283514,Gregory Smith,10th,Campos High School,53.6,39.8,Public,957299
92843314,Laura Norman,10th,Montgomery High School,72.4,76.9,Charter,893368
75613804,Richard Foster,12th,Montgomery High School,58.6,54.2,Charter,893368
39243812,Randy Sullivan,11th,Bowers High School,95.9,54.6,Public,848324
18735532,April Chambers,10th,Green High School,75.8,69.9,Charter,832670
116642844,Michael Whitney,10th,Silva High School,80,48.5,Public,991918
43230536,Christopher Andrews,12th,Woods High School,94.8,35.5,Public,912243
115478462,Clarence Clark,11th,Bowers High School,85.1,39.5,Public,848324
25025293,Chad Livingston,11th,Odonnell High School,68,65.8,Public,959474
105257156,Alyssa Chan,12th,Wagner High School,71.5,52.9,Public,846745
124421523,Rebecca Ferguson,10th,Green High School,82.5,65.7,Charter,832670
96501623,Jennifer Martinez,11th,Odonnell High School,68.3,45,Public,959474
94034228,Kyle Jenkins,12th,Woods High School,76.5,30.4,Public,912243
19334877,Benjamin Harris,12th,Woods High School,78.7,34.9,Public,912243
39432924,Brian Moss,10th,Silva High School,,42.5,Public,991918
36295274,Stephanie Beck,11th,Odonnell High School,51.1,84.1,Public,959474
40477839,Hayley Cook,9th,Woods High School,86.1,69.9,Public,912243
116120379,Melissa Swanson,12th,Dixon High School,84.2,54.5,Charter,870334
40428888,Sarah Schwartz,12th,Dixon High School,91.6,36.3,Charter,870334
90019399,Deborah Marshall,12th,Wagner High School,85.9,57.7,Public,846745
43113983,Jesus Vasquez,10th,Montgomery High School,65.1,67.5,Charter,893368
56233685,Randy Forbes Jr.,9th,Green High School,70.3,49.2,Charter,832670
92911068,Joshua Martinez,11th,Turner High School,85.9,44.6,Public,956438
59785787,Scott Blair,10th,Wagner High School,77,69.5,Public,846745
54965670,Adam Deleon,9th,Green High School,75.9,58.1,Charter,832670
63394779,Kevin Knight,12th,Fisher High School,38.1,64,Public,817615
48075796,Kathy Yang,12th,Odonnell High School,66.4,83.7,Public,959474
81687808,Stephanie Rodriguez,10th,Dixon High School,68.9,58.8,Charter,870334
68630001,Erik Phillips,10th,Woods High School,62.7,45,Public,912243
56930603,Victor Gonzalez,10th,Silva High School,77.9,45.1,Public,991918
12734704,Kayla Shields,9th,Green High School,76.9,61.5,Charter,832670
56620735,Jill Jimenez,9th,Odonnell High School,95.7,56.5,Public,959474
90040164,Keith Hoover,12th,Montgomery High School,54.5,86.2,Charter,893368
40304973,Tasha Vasquez,11th,Odonnell High School,39,83.6,Public,959474
57729237,Tom Bailey,9th,Green High School,75.1,57.1,Charter,832670
29094220,Christine Rodriguez,10th,Montgomery High School,30.1,16.3,Charter,893368
66266778,David Payne,10th,Fisher High School,,66.7,Public,817615
122818578,Samantha Mccoy,9th,Dixon High School,51.9,72.1,Charter,870334
108223860,Chelsea Hernandez,12th,Odonnell High School,53.6,77.6,Public,959474
51895374,Julie Burns,10th,Campos High School,70,61.1,Public,957299
14156555,Joshua Booker,10th,Turner High School,,83,Public,956438
39580274,Susan Gibson,11th,Wagner High School,70.1,46.8,Public,846745
126769704,Connie Matthews,9th,Montgomery High School,65.3,69.5,Charter,893368
82422622,Madeline Morales,10th,Sullivan High School,92.8,73.9,Public,961125
15486059,Jeffrey Gonzales,11th,Sullivan High School,52.8,63.6,Public,961125
126101061,Amy Hodges,12th,Woods High School,81,66.1,Public,912243
106580330,Lindsay Travis,10th,Wagner High School,43.3,68.2,Public,846745
126626818,Nicole Barnes,10th,Sullivan High School,78.7,62,Public,961125
70366509,Bryan Graham,11th,Montgomery High School,85.9,,Charter,893368
47759068,Christopher Torres,9th,Campos High School,40.1,36,Public,957299
22284516,Krista Wright,12th,Silva High School,78.7,42.2,Public,991918
15813936,Elizabeth Cruz,12th,Bowers High School,89.2,62.8,Public,848324
107077619,Jacob Estrada,10th,Montgomery High School,73.6,64.5,Charter,893368
70847099,Steven Garza,11th,Odonnell High School,59.8,40.3,Public,959474
18362963,Shannon Dixon,10th,Turner High School,42.2,79.5,Public,956438
120618864,Christine Steele,10th,Turner High School,,61.5,Public,956438
112774143,Brian Brooks,10th,Dixon High School,59.7,67.1,Charter,870334
104268434,Virginia Sparks,11th,Green High School,85.4,62.3,Charter,832670
118590541,Danielle Bennett,9th,Dixon High School,75.7,78.4,Charter,870334
123391997,Sarah Wiley,10th,Green High School,74.3,65.1,Charter,832670
97530091,Michael Palmer,9th,Woods High School,72.6,51.1,Public,912243
48190752,Jonathan Williams,10th,Green High School,70.4,77,Charter,832670
126595402,Barbara Clark,9th,Dixon High School,59.6,64.7,Charter,870334
14095535,Chad Pratt,10th,Wagner High School,60.8,72.4,Public,846745
16683194,Diane Rhodes,9th,Sullivan High School,64.6,68.5,Public,961125
44692788,Cynthia Carr,9th,Dixon High School,91.1,70.8,Charter,870334
76918032,Linda Carney,12th,Montgomery High School,63.7,63.1,Charter,893368
103665795,Katherine Chase,12th,Silva High School,65.6,65.5,Public,991918
77520351,Janice Frye,9th,Dixon High School,60.1,61.4,Charter,870334
101624660,Pamela Salazar,12th,Wagner High School,,75.1,Public,846745
87839964,Caitlin Durham,12th,Montgomery High School,64.5,43.2,Charter,893368
98559505,John Stanley II,10th,Turner High School,,61.6,Public,956438
81879218,Thomas Franklin,11th,Odonnell High School,,73.5,Public,959474
19345727,Christina Kane,11th,Fisher High School,,43.8,Public,817615
97653211,James Mcgrath,9th,Green High School,62.1,,Charter,832670
104363892,Tracy Bush,9th,Chang High School,55.8,62.5,Charter,840132
124293094,Karen Oliver,11th,Green High School,83.1,,Charter,832670
25501490,Ashley Gordon,11th,Bowers High School,90.3,32.2,Public,848324
121492115,Karl Lopez,10th,Fisher High School,,52.8,Public,817615
11561949,William Monroe,12th,Bowers High School,63.4,67.7,Public,848324
82075040,Jacob Snyder,12th,Bowers High School,79.1,43.8,Public,848324
35592693,Kim Edwards,12th,Bowers High School,,,Public,848324
124838556,Brittany Rivera,10th,Silva High School,72.8,54.3,Public,991918
88002004,Shelly Macdonald,12th,Montgomery High School,74.6,64.2,Charter,893368
114157111,Danielle Miller,11th,Montgomery High School,92.7,81.8,Charter,893368
118331768,Jennifer Gallagher,11th,Montgomery High School,55.6,73.8,Charter,893368
77317920,Timothy Kelly,9th,Montgomery High School,88.9,76.7,Charter,893368
101122586,Robert Wagner,10th,Woods High School,75.7,76.5,Public,912243
118552521,Christopher Delgado,9th,Green High School,57.6,68.9,Charter,832670
101533447,Timothy Vincent,10th,Silva High School,,46.8,Public,991918
38161102,Kaitlyn Valdez,10th,Odonnell High School,80.5,44.1,Public,959474
26946805,Amy Carter,12th,Campos High School,79,71.9,Public,957299
94453854,Jacqueline Howard,10th,Turner High School,68.4,65.5,Public,956438
106347285,John Watson,10th,Wagner High School,83.5,36.7,Public,846745
60071765,Brittany Lowery,9th,Woods High School,52.3,95.6,Public,912243
118429395,Marie Villanueva,9th,Green High School,82.4,93.3,Charter,832670
38088735,Michael Andrews,9th,Montgomery High School,,65.8,Charter,893368
76199589,Christopher Henry,11th,Montgomery High School,87.5,76.6,Charter,893368
80236496,Franklin Woods,9th,Chang High School,91.7,63.1,Charter,840132
10752173,Jesse Miller,12th,Bowers High School,92.7,41.4,Public,848324
86289683,Jeffrey Rodriguez,12th,Richard High School,,53.9,Charter,889699
82039154,Michelle Dunn,9th,Silva High School,54.6,76.4,Public,991918
81067431,Sandra Barrett,12th,Green High School,56.3,60,Charter,832670
45213289,George Harvey,12th,Montgomery High School,78.9,54.5,Charter,893368
57001890,Roberto Bass,9th,Richard High School,,80.9,Charter,889699
93013198,Lisa Rivas,10th,Green High School,,63.4,Charter,832670
67509968,Shawn Brennan,9th,Montgomery High School,73.2,62.2,Charter,893368
124496464,Andrew Weber,12th,Turner High School,71.9,69.2,Public,956438
83765663,Erin Peterson,11th,Fisher High School,49.1,59.9,Public,817615
84591975,Sarah King,9th,Dixon High School,76,73.8,Charter,870334
124722701,Melissa Thompson,12th,Fisher High School,68.8,85.9,Public,817615
101115467,Katrina Hale,12th,Sullivan High School,97.8,49,Public,961125
56251625,Joshua Vaughan,10th,Wagner High School,76.5,55.6,Public,846745
25504947,Jordan Davila,11th,Bowers High School,85.2,53.8,Public,848324
11319748,Joshua Le,9th,Silva High School,59.1,80.4,Public,991918
24025980,Zoe Dunn,10th,Campos High School,68.2,42.3,Public,957299
104880553,Matthew Castillo,9th,Green High School,,66.9,Charter,832670
65464584,Jared Townsend,11th,Bowers High School,69.8,68.9,Public,848324
75748944,Jeremiah Smith,9th,Green High School,55.2,66.1,Charter,832670
46822637,Patricia Vargas,9th,Sullivan High School,71.9,27.8,Public,961125
26710853,Luis Lynch,9th,Bowers High School,42,53.9,Public,848324
42743503,Scott Hernandez,10th,Silva High School,83.4,58.9,Public,991918
58107573,Joyce Finley,11th,Green High School,74.7,40.9,Charter,832670
10580918,Martha Perez,10th,Turner High School,78.3,42.4,Public,956438
110926249,Natasha Lee,11th,Dixon High School,70.1,86.8,Charter,870334
88658513,Carmen Jordan,11th,Wagner High School,64.9,69.9,Public,846745
103988621,Christopher Owens,11th,Wagner High School,65.1,,Public,846745
44136451,Craig Morgan,9th,Odonnell High School,91.7,34.6,Public,959474
17325532,Lorraine Tapia,11th,Dixon High School,82.4,66.8,Charter,870334
122896697,Christina Benton,11th,Montgomery High School,64.5,77,Charter,893368
102718041,Courtney Reyes,9th,Silva High School,65,78.4,Public,991918
96037317,Sheila Gilbert,12th,Woods High School,69.7,48.7,Public,912243
62555001,Michael Allison,10th,Turner High School,85,68.4,Public,956438
46692508,Travis Smith,10th,Dixon High School,49.1,82.1,Charter,870334
80861997,Brenda Mcpherson,9th,Green High School,55.8,94.9,Charter,832670
97936378,Christian Cole,9th,Woods High School,72.4,65.1,Public,912243
96713990,Robert Young,11th,Dixon High School,98.1,70.4,Charter,870334
15425214,Veronica Gordon,9th,Turner High School,97.5,,Public,956438
79707486,Diane Diaz,10th,Turner High School,97.3,96.9,Public,956438
128857834,Sarah Garcia,12th,Wagner High School,87.2,52.9,Public,846745
52423091,Micheal Page,10th,Silva High School,70.2,70.7,Public,991918
92315431,Nathan Manning,10th,Green High School,52.1,61.3,Charter,832670
60761839,Anthony Douglas,11th,Bowers High School,94.7,33.8,Public,848324
106346684,Cheryl Rogers,9th,Woods High School,69.4,81,Public,912243
92230833,Joseph Hansen,12th,Fisher High School,56.3,77.9,Public,817615
15117674,Natalie Carey,9th,Dixon High School,39.8,70.1,Charter,870334
109976828,Michele Dixon,11th,Chang High School,52.9,50.5,Charter,840132
10929375,Joseph Lamb,11th,Wagner High School,84,,Public,846745
120010080,Taylor Gonzalez,10th,Silva High School,,49.9,Public,991918
59590804,Jessica Hicks,9th,Dixon High School,86.4,76.7,Charter,870334
85224681,Joe Salinas,12th,Bowers High School,77.8,43.8,Public,848324
26534770,Max Snow,9th,Fisher High School,78.8,95.3,Public,817615
16975899,Jonathan Ross,10th,Fisher High School,85.8,49.6,Public,817615
27435784,Timothy Carroll,11th,Montgomery High School,74.4,59.2,Charter,893368
48525000,Nicole Ferguson,9th,Woods High School,92.4,52.7,Public,912243
25156094,Richard Cunningham,10th,Wagner High School,,83.9,Public,846745
69885444,Melissa Anderson,11th,Odonnell High School,50.2,68.7,Public,959474
42210667,Stephanie Walker,10th,Richard High School,89,47.2,Charter,889699
119556050,Christian James,9th,Bowers High School,46,76.7,Public,848324
29205747,Nathaniel Harmon,10th,Woods High School,62.3,60.9,Public,912243
86411121,Teresa Boyd,10th,Turner High School,64.9,64.5,Public,956438
50021770,Kayla Zimmerman,10th,Woods High School,64.7,74.4,Public,912243
19664550,Michael Nolan,12th,Bowers High School,94.9,74.2,Public,848324
28837297,Nathaniel Campbell,10th,Woods High School,74.1,75.1,Public,912243
39319429,Edward Reese,12th,Wagner High School,75.1,43.8,Public,846745
111049468,Richard Donovan,9th,Wagner High School,56.4,47.3,Public,846745
45337783,Jasmine Powell,10th,Dixon High School,49,52.6,Charter,870334
61416769,Gary Lyons,10th,Turner High School,51.5,46.1,Public,956438
18977125,Kelli Johnson,9th,Dixon High School,81.8,89.3,Charter,870334
56771493,Mark Hall,12th,Bowers High School,90.1,47.9,Public,848324
87107285,Adam Coleman,9th,Sullivan High School,96.7,59.8,Public,961125
122203620,Lauren Lopez,9th,Wagner High School,88.7,80.8,Public,846745
15565776,Joseph Davis,11th,Bowers High School,83.7,46.9,Public,848324
52427770,Nicole Carter,10th,Dixon High School,,,Charter,870334
79011305,Shannon Underwood,10th,Richard High School,89.9,60.4,Charter,889699
110077952,Thomas Norman,11th,Turner High School,64.2,44.8,Public,956438
19273640,David Perez,12th,Montgomery High School,45.9,,Charter,893368
115582329,Angela Wong,10th,Campos High School,72.4,,Public,957299
120107537,Michael Lara,10th,Campos High School,80.8,66.5,Public,957299
45224003,Rhonda Smith,10th,Woods High School,76.3,83,Public,912243
36861187,Kathryn Williams,11th,Bowers High School,74.4,58.7,Public,848324
88084103,Benjamin Andersen,12th,Bowers High School,81.3,68.7,Public,848324
77194907,John Walsh,10th,Dixon High School,81.8,,Charter,870334
113490811,Donald Wright,12th,Chang High School,59.8,78.8,Charter,840132
115953673,Scott Downs,9th,Dixon High School,62.3,48.7,Charter,870334
101791137,Christine Green,9th,Silva High School,48.8,99.1,Public,991918
79160926,Charles Hill,11th,Dixon High School,93.8,71.2,Charter,870334
50013597,Charles Webster,9th,Wagner High School,,63.4,Public,846745
98032857,David Green,10th,Montgomery High School,76.6,34.5,Charter,893368
52488832,Donald Reyes,9th,Turner High School,89.7,71.8,Public,956438
83238268,Jimmy Myers,9th,Woods High School,59.6,70.8,Public,912243
69850806,Melanie Pratt,10th,Green High School,78,78.1,Charter,832670
84545620,David Reynolds,11th,Montgomery High School,84.7,70.7,Charter,893368
98312593,Juan Shepard,10th,Wagner High School,88.7,92.2,Public,846745
33099363,Patrick Mathews,12th,Dixon High School,93.5,60.9,Charter,870334
113800061,Ana Morgan,10th,Campos High School,73.6,58,Public,957299
114601573,Kenneth Gordon,11th,Wagner High School,,73.2,Public,846745
41819425,Sandra Chambers,12th,Richard High School,,59.8,Charter,889699
13843461,Becky Pittman,9th,Wagner High School,98.1,76.7,Public,846745
83920233,Jacob Johnson,10th,Woods High School,47.2,53.9,Public,912243
28281597,Alexander Conley,9th,Woods High School,80,66.5,Public,912243
56097397,Geoffrey Ray,10th,Montgomery High School,95.2,13.9,Charter,893368
25773396,Danielle Martin,12th,Chang High School,52.2,58.6,Charter,840132
12791080,Michael Mcdonald,9th,Sullivan High School,72.1,,Public,961125
49809987,Joshua Ruiz,12th,Woods High School,99.2,74.6,Public,912243
51125413,Steve Robinson,11th,Montgomery High School,,70.1,Charter,893368
47156962,Regina Casey,10th,Campbell High School,94.4,72.2,Charter,960726
98475621,Karen Freeman,9th,Montgomery High School,90.8,96.7,Charter,893368
86278432,Robert Rodriguez,12th,Odonnell High School,74.7,71.7,Public,959474
77271163,Karen Mills,9th,Odonnell High School,91.2,55,Public,959474
66556705,Christine Villegas,10th,Silva High School,91.3,78.2,Public,991918
54740219,Matthew Martinez,9th,Sullivan High School,76.1,,Public,961125
42271046,Alice Collins,9th,Green High School,65.4,62.9,Charter,832670
89722794,Thomas Scott,10th,Turner High School,67,55.2,Public,956438
41177552,Mark Moore,9th,Green High School,45.6,56.5,Charter,832670
118694201,Matthew Jones,10th,Wagner High School,,79.3,Public,846745
111324756,Kenneth Chan,11th,Fisher High School,38.9,50.1,Public,817615
100074703,Travis Thompson,9th,Richard High School,60.5,41.2,Charter,889699
107556703,Joel Ramos,9th,Green High School,74.9,68.9,Charter,832670
100589421,Roger Weber,12th,Dixon High School,72.9,,Charter,870334
104489187,Raymond Crawford,12th,Green High School,,52.2,Charter,832670
32954195,Michael Simon,9th,Montgomery High School,55.1,80.8,Charter,893368
107149851,Diane Simmons,9th,Woods High School,74.2,80.9,Public,912243
82745309,Lynn Dean,12th,Wagner High School,95.3,41.5,Public,846745
54938089,Kelly Carroll,11th,Dixon High School,87.8,79.4,Charter,870334
122104033,Dawn Ramirez,10th,Richard High School,81.8,75.3,Charter,889699
56613205,Jackie Olson,10th,Woods High School,64.4,47.4,Public,912243
122770632,Joshua Potter,12th,Silva High School,65.7,66.7,Public,991918
105999346,Brittany Griffin,10th,Richard High School,56.2,66.2,Charter,889699
35191036,Kayla Sullivan,10th,Dixon High School,50.2,63,Charter,870334
94828984,Lisa Harris,10th,Montgomery High School,84.5,,Charter,893368
16132522,Mary Pearson,10th,Richard High School,61.9,69.1,Charter,889699
70835797,Rebecca Gregory,9th,Dixon High School,85.1,74.2,Charter,870334
89079939,Daniel Petersen,12th,Woods High School,86,45.9,Public,912243
57124191,Benjamin Flores,10th,Turner High School,91,87.8,Public,956438
63166839,Daniel White,12th,Montgomery High School,65.1,55.1,Charter,893368
121963466,Shannon Raymond,9th,Silva High School,66,72.1,Public,991918
51190723,Marc Shepherd,12th,Wagner High School,99.1,61.8,Public,846745
87024177,Jessica Howard,11th,Richard High School,60.9,79,Charter,889699
43700668,William Gibson,12th,Woods High School,82.1,50.7,Public,912243
